gene_id,SRR6825925,SRR6825926,SRR6825928,SRR6825930,SRR6825932,SRR6825933,SRR6825934,SRR6825935,SRR6825938,SRR6825939,SRR6825940,SRR6825941
gene-LOC121926747,0,0,0,0,0,4,0,0,0,2,0,3
gene-GLUL,4283,9332,17266,24890,6173,17244,8862,23261,388,13854,4089,7482
gene-TGDS,6,35,58,124,61,41,34,72,17,86,32,40
gene-MAP6D1,0,0,14,0,8,18,8,0,0,21,9,4
gene-SARM1,18,11,33,29,43,33,57,15,24,39,18,14
gene-ALG14,83,137,31,84,96,39,79,201,39,82,54,95
gene-ALG13,330,228,251,156,254,189,339,345,379,140,189,171
gene-ALG12,207,352,188,236,252,330,352,705,367,395,187,190
gene-LOC121926299,0,0,0,0,0,0,0,0,0,0,0,0
gene-ALDH6A1,3555,8974,7347,5794,7287,12365,13238,12577,2614,11247,5872,6489
gene-LOC121926295,18,0,18,12,23,7,25,27,9,10,2,1
gene-COL26A1,0,0,0,4,0,0,0,0,0,0,0,0
gene-LOC121926290,0,0,0,0,0,0,0,0,0,0,0,0
gene-MGLL,82,374,381,5035,360,1332,440,2118,129,749,566,419
gene-FAM169A,78,29,27,307,39,151,54,93,267,105,43,49
gene-STUM,55,0,0,0,10,0,0,15,0,15,0,0
gene-LOC121928795,0,0,0,0,0,0,0,0,3,0,0,4
gene-LOC121928790,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121928799,504,907,874,1092,624,1071,782,1661,499,1051,928,898
gene-XCR1,18,26,46,11,4,0,0,19,14,0,10,4
gene-FAIM,94,437,254,397,230,308,372,735,194,411,187,121
gene-TRIM23,359,555,994,1389,998,1028,1206,1358,1137,1101,733,792
gene-TMEM185A,413,664,472,1764,738,702,1321,2028,573,783,410,542
gene-MTHFD2,107,45,4584,132,1431,5781,137,664,87,2063,5391,3143
gene-ACIN1,4986,3855,4228,3414,4301,3607,6117,7861,9022,3545,4969,4420
gene-MTHFD1,24467,64130,44216,53653,38631,72524,45113,106011,31109,88106,51724,90867
gene-TRIM24,344,622,1609,1452,931,1753,749,2140,622,1265,1946,1584
gene-ACADL,1496,1087,1552,1364,1717,2637,2994,3057,1472,2791,1017,1390
gene-LOC121922536,74,79,295,67,284,433,149,246,85,509,1047,441
gene-LOC121922537,63,111,115,198,86,177,341,192,118,123,108,81
gene-LOC121922532,13,0,0,2,0,0,0,187,0,0,0,0
gene-LOC121922531,42,24,22,18,11,24,21,29,9,10,34,9
gene-LOC121927168,8,0,0,6,0,0,0,0,0,0,0,0
gene-B3GNTL1,24,31,46,80,70,75,49,39,109,66,65,38
gene-LOC121927167,0,0,0,0,5,0,0,0,0,6,0,0
gene-SCAI,150,121,233,252,160,214,234,482,224,220,236,220
gene-LOC121927161,0,0,0,16,0,0,0,0,0,0,0,0
gene-XPNPEP3,58,127,258,122,294,299,163,504,52,384,335,368
gene-XPNPEP2,4323,3585,6795,1539,3238,3829,6546,2368,1977,4189,3794,2036
gene-XPNPEP1,377,599,566,611,597,749,709,1814,734,792,527,743
gene-DCLK2,56,218,319,470,96,222,254,1482,118,191,121,195
gene-DCLK3,0,0,0,8,0,18,0,11,0,2,24,15
gene-LOC121917804,151,158,223,158,173,207,249,329,160,219,196,218
gene-DCLK1,0,0,0,0,0,0,0,4,0,0,0,0
gene-LOC121917802,72,125,176,146,212,353,157,380,74,115,128,188
gene-LOC121917803,1173,40,0,66,0,46,12,3955,499,1703,0,0
gene-LOC121917800,2,7,10,71,17,9,18,19,7,11,0,17
gene-LOC121917801,0,0,7,0,0,0,0,0,0,0,7,3
gene-LOC121923661,1,3,0,0,0,0,1,0,0,2,0,1
gene-LOC121923663,25,3,14,7,6,0,0,8,8,8,12,0
gene-LOC121917808,22,23,25,20,41,55,53,26,74,41,31,40
gene-LOC121923666,0,0,0,0,0,0,0,0,0,0,0,4
gene-HM13,3086,5292,3628,4857,3813,5187,5749,7956,3099,3668,3524,3491
gene-LOC121921779,368,652,734,2335,541,1061,1027,1784,245,709,499,780
gene-LOC121932913,0,0,4,0,0,0,0,0,0,0,0,0
gene-LOC121932912,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121932914,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121932917,0,0,4,0,0,0,0,4,0,0,0,0
gene-INPP1,31,51,91,220,61,113,92,342,76,133,97,83
gene-SPATA5L1,48,103,135,63,93,168,189,322,54,182,80,43
gene-CLMN,138,253,583,245,322,493,112,256,425,749,708,895
gene-C5H12orf4,2143,1124,1064,1450,1828,1273,2192,2588,3029,1481,1208,1746
gene-SH3D21,12,12,44,4,10,19,18,12,23,5,22,26
gene-LOC121924290,758,920,631,1161,603,597,1060,1659,740,638,804,579
gene-LOC121920975,0,0,27,0,6,8,28,7,0,14,45,15
gene-LOC121915989,0,4,0,0,0,0,0,0,0,4,14,0
gene-LOC121915988,0,0,0,0,0,0,0,0,0,0,0,0
gene-FOXP4,1552,3741,2941,6431,3103,2995,4292,8721,2503,2133,2920,3498
gene-LOC121915987,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121915986,0,0,0,0,0,0,0,0,0,0,0,0
gene-FOXP1,106,502,813,1587,872,976,1054,1106,315,833,760,828
gene-LOC121915980,0,0,4,0,0,0,0,0,0,0,0,0
gene-FOXP3,17,3,0,14,17,14,3,11,27,16,6,4
gene-FOXP2,191,317,332,296,539,514,276,761,278,542,634,526
gene-DLC1,328,754,1326,1884,1437,1580,1719,1659,525,1593,1108,971
gene-FAM83B,128,30,125,333,0,228,8,15,71,114,184,171
gene-FAM83C,0,0,0,0,0,0,8,19,0,12,0,0
gene-NPLOC4,1985,2423,3262,4580,2492,3191,5202,4284,3127,4036,2097,3167
gene-LPL,6770,10701,18641,6325,14785,15755,33641,10942,6840,33834,13781,12481
gene-LOC121929057,0,0,0,0,0,0,4,18,0,4,0,4
gene-DAPP1,81,77,195,109,32,60,78,245,199,43,178,90
gene-IDNK,190,313,484,758,715,1254,896,2316,553,608,563,1017
gene-PHKB,699,939,891,1373,785,902,1239,1756,1131,899,698,456
gene-APLNR,64,54,131,1778,166,219,785,65,158,265,117,74
gene-F13A1,202,452,248,441,394,676,170,1586,488,279,481,318
gene-POLE3,2044,1529,1142,1040,1704,1500,2636,2717,3222,1510,1424,1186
gene-POLE4,15,105,46,47,52,73,172,68,202,69,87,67
gene-TMEM256,1264,920,1161,865,760,1778,1767,2363,776,1575,1403,684
gene-LOC121921989,0,0,0,0,0,0,0,2,11,4,33,0
gene-TMEM250,984,703,808,1249,778,735,1946,765,2915,774,1788,1003
gene-TMEM251,282,420,252,443,191,218,341,682,262,181,332,224
gene-TMEM252,7,22,1193,477,1780,4452,109,4259,35,15561,988,7436
gene-LOC121922483,169,171,216,225,165,199,298,253,363,290,108,77
gene-LOC121921982,75,83,100,39,91,238,48,73,11,110,179,110
gene-LOC121921983,45,0,96,51,31,92,107,20,29,51,47,0
gene-LOC121921980,26,47,68,68,27,72,63,90,44,25,41,39
gene-LOC121921981,0,0,0,0,0,0,0,0,4,0,0,0
gene-LOC121921986,55,57,67,22,65,103,41,87,118,57,85,30
gene-TMEM259,1220,1751,2537,3055,1841,2151,2643,4742,1528,1957,1672,2152
gene-LOC121921984,0,0,0,8,61,35,118,6,0,99,0,0
gene-LOC121921985,23,41,211,46,145,187,82,74,26,229,83,121
gene-CRIP2,1122,1785,1106,9002,1299,1757,2082,3483,1370,1074,1489,1829
gene-LOC121925153,1,2,1,3,0,2,1,2,2,2,3,1
gene-LOC121925152,0,2,0,0,0,0,0,0,0,0,0,0
gene-LOC121925155,2,4,0,0,3,2,0,9,0,0,0,0
gene-LOC121925154,63,137,0,176,44,156,24,782,34,128,0,31
gene-ARNTL2,513,487,694,600,755,677,1769,852,1561,910,450,368
gene-LOC121925156,0,0,0,0,7,0,0,0,0,0,3,0
gene-THSD7B,12,0,0,0,0,0,0,0,0,0,0,0
gene-THSD7A,21,25,46,162,77,39,44,256,23,79,49,73
gene-NCBP3,869,989,1319,1095,826,891,1940,1460,2848,1155,1749,1332
gene-NCBP2,858,723,619,326,699,734,1266,1171,647,598,648,661
gene-NCBP1,1547,1603,1589,2280,1812,1453,3144,3851,3514,1909,2095,1642
gene-MFSD14A,209,484,785,3303,620,918,1145,1684,489,894,1010,1014
gene-SUGCT,398,511,878,438,606,288,1234,1054,336,691,718,610
gene-RABGAP1,653,873,1407,2207,1124,1503,1804,2132,773,1636,956,1011
gene-SH3GLB2,182,225,332,356,198,380,411,360,294,340,396,368
gene-SH3GLB1,1540,3220,1750,3625,1538,1965,3646,6348,2916,1926,1990,2525
gene-SLC38A10,943,1246,1078,1628,914,969,1404,3415,1626,1085,857,1231
gene-CRIPT,478,1070,1152,1427,855,1349,1165,1960,418,1195,1777,1745
gene-LOC121931834,12,0,36,3,11,17,0,10,12,0,72,2
gene-SMARCA2,2197,2192,2422,2199,2316,2835,3446,4603,4797,2410,2139,2411
gene-SMARCA1,850,1337,1330,2143,1293,1329,1837,2504,1513,1681,1170,1365
gene-LOC121919326,560,748,1074,1912,720,1894,1935,1333,617,1234,1137,1558
gene-LOC121919320,0,0,0,0,0,0,0,0,0,0,0,0
gene-SMARCA5,150,195,260,539,92,117,304,866,474,378,201,252
gene-SMARCA4,238,304,263,479,145,307,324,1276,685,262,381,301
gene-AVL9,661,1125,418,2144,641,819,1247,2011,815,739,493,460
gene-CLUAP1,89,98,185,208,99,122,84,178,130,293,77,110
gene-TSNAXIP1,0,14,7,0,14,4,0,19,22,7,0,5
gene-STK39,42,31,52,88,38,44,23,103,72,45,37,11
gene-STK38,531,1088,1154,2408,745,1215,1326,2790,987,1358,663,905
gene-LOC121916360,0,4,0,0,0,0,3,0,0,1,4,1
gene-LOC121916361,0,11,2,3,3,0,2,6,3,0,0,0
gene-LOC121916362,3,2,7,4,13,8,3,7,0,9,9,7
gene-STK33,0,13,19,21,11,0,8,29,0,10,0,0
gene-STK31,0,0,8,0,0,0,0,0,0,0,0,0
gene-LOC121916367,100,38,29,3,89,56,233,102,81,66,106,19
gene-XK,0,0,0,0,0,0,0,0,0,0,0,0
gene-RASL10B,0,0,9,0,5,18,7,0,0,8,21,15
gene-GCM1,0,0,0,0,4,0,0,0,0,0,0,0
gene-GCM2,0,0,0,0,0,0,0,0,0,0,0,0
gene-NAV1,85,154,188,201,96,84,83,267,168,118,254,142
gene-NAV2,1477,1786,2806,4313,3417,3222,2423,2576,6452,2737,3051,1713
gene-NAV3,103,58,64,112,48,73,40,98,123,58,55,68
gene-LOC121922271,280,4262,1398,4323,2476,10171,6449,1995,1174,4979,2782,1203
gene-LOC121922270,10158,17400,6731,9359,7799,18345,16033,17690,7856,14155,6631,9117
gene-LOC121922275,0,0,0,0,0,0,0,0,0,0,0,2
gene-LOC121922274,0,1,0,0,0,0,6,2,0,0,0,6
gene-LOC121934511,0,0,0,0,0,0,0,0,0,0,0,0
gene-SECISBP2,671,638,1376,1339,1041,1232,1188,1562,2377,1096,942,1189
gene-MMD2,0,0,0,0,0,0,0,0,0,0,0,0
gene-TACC3,0,14,22,26,0,10,12,16,16,7,19,8
gene-TACC2,259,214,545,121,467,295,548,156,448,466,694,144
gene-TACC1,124,229,601,736,200,255,162,771,244,180,483,370
gene-FOXB2,0,0,0,0,0,0,0,0,0,0,0,0
gene-HOXA9,0,0,0,0,0,0,0,0,0,0,0,0
gene-FOXB1,0,0,0,0,0,0,0,0,0,0,0,0
gene-HOXA1,6,0,4,10,3,6,0,11,0,10,7,11
gene-HOXA2,76,120,136,180,82,70,122,227,49,93,93,65
gene-HOXA3,102,80,111,219,44,123,196,231,115,39,174,96
gene-HOXA4,78,96,270,230,90,109,198,252,81,125,283,141
gene-HOXA5,0,40,40,80,17,41,61,127,13,21,32,63
gene-HOXA6,0,0,0,10,0,9,4,17,0,0,0,0
gene-HOXA7,6,8,0,0,0,0,0,4,7,0,0,0
gene-ANO1,13,22,0,68,27,26,0,34,4,13,7,29
gene-LOC121919816,44,40,44,52,37,132,73,119,94,89,119,36
gene-LOC121919815,0,0,0,0,0,0,6,0,0,0,0,0
gene-ANO2,58,5,0,7,47,22,15,19,20,26,24,9
gene-ANO5,130,257,469,473,337,388,402,974,206,357,183,473
gene-ANO4,156,0,13,0,4,200,0,0,7,18,0,8
gene-ANO7,16,20,25,5,16,30,69,37,49,13,25,17
gene-ANO6,39,61,73,298,58,97,173,377,46,78,135,76
gene-ANO9,282,307,211,104,252,351,302,413,427,268,92,128
gene-LOC121919819,0,0,0,0,0,0,0,0,0,0,0,0
gene-ZNF207,860,1434,2626,3996,2103,3124,1976,5708,1509,2876,3717,3279
gene-TTC9B,0,0,10,0,0,0,0,0,0,4,0,0
gene-TTC9C,374,570,355,414,343,510,597,733,906,476,645,343
gene-CDIP1,22,23,86,48,46,62,87,57,24,121,77,28
gene-CDIPT,753,451,735,796,589,743,441,1412,447,850,525,345
gene-TGOLN2,1314,3702,3403,6782,2242,3565,6408,8610,1946,3540,2904,2626
gene-LOC121926746,2222,3548,9139,856,3869,4102,9635,2346,807,5118,1960,735
gene-LIN7B,0,0,19,0,0,0,0,25,11,22,50,6
gene-LIN7C,1384,3029,1753,3336,1919,2931,4925,7509,1229,2998,1266,1658
gene-LIN7A,17,37,12,14,19,12,0,70,0,44,21,11
gene-EFHC2,8,4,0,4,4,0,0,12,19,0,0,0
gene-FABP3,10,14,11,0,7,0,0,20,0,0,50,0
gene-FABP2,149,62,65,122,37,38,215,212,37,92,8,16
gene-FABP5,90,71,80,121,53,39,36,114,58,44,36,40
gene-FABP7,0,0,0,0,0,0,0,0,0,0,0,0
gene-FABP6,5,2,6,4,7,7,8,42,0,7,4,11
gene-FBXL18,129,195,349,178,359,305,338,390,149,335,256,194
gene-FBXL19,222,306,228,339,300,391,478,576,527,348,285,290
gene-FBXL14,172,352,1028,611,535,1268,501,929,67,760,536,982
gene-SAP18,174,426,1337,448,616,951,522,1353,278,684,1430,906
gene-FBXL16,0,0,0,0,0,0,0,0,0,2,0,0
gene-FBXL17,45,43,114,150,97,174,76,112,30,145,76,93
gene-FBXL12,187,246,167,127,91,50,395,556,177,145,104,37
gene-FBXL13,53,0,0,0,9,8,0,18,32,26,0,133
gene-LOC121930980,1079,969,867,869,974,831,1640,1951,1509,844,1669,922
gene-LOC121930981,2,1,0,0,2,0,5,0,0,0,0,0
gene-LOC121930983,887,1021,1549,1533,1374,2064,2399,1771,954,1996,1110,1025
gene-EBF2,0,0,0,0,0,0,0,0,0,0,0,0
gene-EBF3,0,0,0,0,0,0,0,15,8,0,0,0
gene-EBF1,8,0,16,33,21,7,0,37,35,4,19,23
gene-LOC121930989,0,0,0,0,11,0,2,0,0,0,0,0
gene-HPSE2,10,0,0,4,0,0,4,4,0,0,8,7
gene-NDUFV2,2468,3303,2063,2769,2345,3022,4158,5264,3141,2584,2919,2545
gene-NDUFV3,534,885,431,751,444,663,775,885,410,690,497,616
gene-NDUFV1,5410,6762,6829,9292,5107,8603,13497,12638,8691,7791,5716,5500
gene-LOC121928809,24,17,9,68,14,10,26,43,25,4,0,0
gene-LOC121928804,115,107,120,28,164,45,136,166,239,67,166,124
gene-KBTBD11,47,7,18,90,50,50,39,57,45,22,47,9
gene-KBTBD12,71,200,125,234,70,189,994,142,137,325,84,45
gene-KBTBD13,0,4,5,0,8,4,0,0,0,3,10,8
gene-THAP8,1160,2635,2048,3586,1674,2490,3450,4502,1183,2306,2467,2696
gene-THAP7,104,93,150,270,73,149,97,332,268,192,127,102
gene-THAP5,216,428,257,394,281,255,224,683,313,161,530,209
gene-THAP4,1460,1243,1988,1164,1850,1788,2096,2696,1220,2290,2048,1774
gene-THAP1,72,83,46,110,50,75,50,275,209,72,85,118
gene-PYGM,34,37,599,104,283,173,26,58,36,138,814,543
gene-XBP1,312,675,1159,757,785,735,806,1686,794,799,3896,1073
gene-PYGB,91,289,625,740,443,1243,344,497,73,592,206,478
gene-ALG11,99,300,509,366,332,553,341,594,62,452,233,247
gene-CIPC,568,438,608,250,547,666,1783,455,1163,543,911,179
gene-LOC121933510,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121933511,4,0,1,0,4,0,3,1,6,0,3,2
gene-INSIG2,800,1360,937,2416,1096,1505,2093,3182,890,1368,548,764
gene-INSIG1,2983,5309,9315,15338,4523,6677,6462,11735,1763,8576,9199,9586
gene-CXCR4,55,38,121,75,34,40,28,217,432,7,78,88
gene-CXCR5,13,7,23,9,68,25,28,8,34,35,48,19
gene-CXCR6,20,30,19,10,3,4,11,37,120,0,0,24
gene-RPP25L,412,1141,1138,437,1434,874,1272,1435,972,942,1429,989
gene-SCX,0,0,0,0,4,0,0,6,0,0,0,0
gene-SCD,10,170,821,595,125,142,269,4139,88,109,228,190
gene-VPS54,163,448,605,913,467,621,557,1050,455,755,795,580
gene-LOC121934893,10791,70999,92461,190419,46613,105740,23881,219559,12538,58527,74413,111091
gene-LOC121934890,0,10,0,0,0,0,8,0,0,0,12,4
gene-VPS50,61,52,96,249,51,180,103,187,84,158,53,154
gene-VPS51,3136,3175,3746,4098,2856,3261,5711,4307,8643,3340,5308,5221
gene-VPS52,853,1065,1159,1185,862,1180,1540,1807,1793,1197,1310,1478
gene-LOC121934895,0,0,13,0,5,0,0,0,4,0,8,0
gene-LOC121934899,0,0,0,0,21,0,0,0,0,2,14,0
gene-CNN1,1458,1230,2367,1802,1385,1640,3187,2166,1408,3199,1786,1413
gene-CNN2,294,836,669,627,441,962,609,6622,446,696,1284,761
gene-CNN3,1154,2034,5029,2221,3055,4351,2429,4644,681,4362,8475,6119
gene-MAN2A2,2360,1584,2131,1493,1563,1779,4305,2920,4957,2017,2610,1997
gene-ILF2,1548,2540,1991,2183,1525,2626,3504,3283,2442,1926,2569,1695
gene-ILF3,3131,3794,3089,4729,3400,4962,5592,9242,5721,4185,4079,3314
gene-MEIOSIN,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121920700,340,334,519,1406,479,538,430,812,1057,407,828,689
gene-RFESD,139,584,130,246,491,193,498,1632,370,754,198,211
gene-NDNF,0,8,4,43,0,19,19,0,0,0,4,2
gene-LOC121920610,7345,16083,8106,29649,7165,15417,10593,18585,3912,9945,4828,8439
gene-LOC121920613,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121920612,0,0,0,0,0,0,0,0,0,0,0,0
gene-ABCB9,54,37,48,25,59,21,127,44,142,71,57,54
gene-LOC121931117,0,0,4,0,8,3,0,1,0,4,0,3
gene-RAB5B,1086,2506,2527,4620,1967,2714,3152,7062,926,2442,2242,2869
gene-ASPSCR1,3173,3634,5467,16569,4089,12445,6779,10108,6171,4913,2088,3776
gene-RAB5A,732,1227,1069,1807,1089,1098,2169,2065,750,1328,1236,920
gene-LOC121925393,15,0,23,26,64,69,3,8,0,39,76,58
gene-LOC121925390,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121925397,94,112,171,437,208,86,149,399,148,105,142,187
gene-LOC121925395,7554,13187,7702,24072,6050,5254,8521,23861,3334,6752,6011,8946
gene-LOC121925394,4,0,0,1,0,0,0,0,0,0,4,0
gene-SALL2,148,247,151,405,95,104,105,417,351,129,143,48
gene-SALL3,0,0,4,0,0,3,0,0,0,0,4,0
gene-SALL1,706,1540,3205,3860,2744,4511,2197,2827,1428,6364,3980,4855
gene-PI15,0,0,0,0,0,0,0,0,0,0,0,0
gene-SALL4,3,14,15,13,14,6,0,15,19,8,31,7
gene-JTB,811,830,800,1147,1148,878,1423,1792,1033,855,1201,796
gene-FAM162B,0,0,0,0,0,0,0,0,0,0,0,0
gene-VIPAS39,460,585,498,567,510,398,606,1348,682,564,658,471
gene-LOC121922412,6,0,5,4,12,11,0,7,0,0,7,3
gene-VEGFC,112,329,240,639,196,283,177,666,138,189,302,232
gene-CD300LF,17,57,77,87,44,4,82,69,88,12,37,22
gene-TMLHE,274,291,393,400,387,391,461,857,746,280,378,260
gene-TBCEL,708,863,950,1239,894,1191,1584,2295,781,1396,682,880
gene-LOC121917219,0,8,5,8,11,28,6,23,0,22,10,12
gene-LOC121917218,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121917213,439,436,627,408,568,703,1580,1138,2130,710,481,357
gene-LOC121929734,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121929737,0,3,0,0,4,14,0,28,8,20,30,9
gene-LOC121917210,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121917217,0,0,0,2,0,2,0,0,0,0,0,0
gene-LOC121917216,550,684,306,572,879,513,952,1698,365,738,212,334
gene-LOC121917215,41,113,24,31,48,108,91,103,133,41,36,49
gene-LOC121917214,70,31,25,71,53,4,121,71,103,22,41,26
gene-LOC121921258,25,33,45,208,106,138,942,62,526,105,363,30
gene-LOC121921256,0,0,0,32,11,0,0,0,0,0,0,0
gene-LOC121921257,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121921254,0,0,4,0,0,0,0,0,18,0,7,0
gene-LOC121921250,0,0,0,0,0,0,0,0,0,0,0,0
gene-RELL2,203,286,244,124,86,104,121,192,218,73,134,168
gene-RELL1,910,865,783,564,1196,687,1746,2767,1016,1021,630,848
gene-LOC121927826,49,11,63,26,73,92,66,52,9,15,43,13
gene-LOC121927821,2560,5370,2233,2969,4015,3352,1829,10527,1310,2373,5590,5026
gene-LOC121930798,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121930793,174,121,112,87,95,125,375,325,556,128,155,61
gene-LOC121930795,330,316,240,208,276,223,559,714,832,176,418,300
gene-LOC121930794,0,9,0,0,0,0,0,0,0,4,3,0
gene-ADD2,0,0,0,0,0,0,4,7,0,0,0,0
gene-ADD3,626,1267,943,4237,830,1206,1473,3978,806,1316,455,1022
gene-ADD1,1882,2500,1702,3236,2247,2769,4166,5138,2732,2686,1519,1860
gene-CCS,447,1120,1397,1475,753,2158,2139,1950,318,1381,258,930
gene-GMPR2,369,542,699,382,636,881,813,1344,411,694,623,577
gene-GDNF,0,0,0,0,0,0,0,0,0,0,7,0
gene-RPRML,0,0,0,0,0,0,0,0,4,0,0,0
gene-SNUPN,468,565,601,544,333,391,534,1199,918,370,1280,465
gene-LOC121937221,88,144,248,293,178,131,441,219,168,230,316,218
gene-LOC121916168,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121936567,0,0,0,0,0,0,0,0,0,0,0,0
gene-PRKCQ,26,53,78,50,42,55,36,114,115,14,38,15
gene-LOC121916162,122,221,351,374,247,356,413,646,258,355,270,189
gene-LOC121932663,0,0,0,0,0,0,0,13,2,0,0,0
gene-LOC121916161,0,0,0,0,0,0,0,0,0,0,0,0
gene-PRKCZ,776,1164,1006,1346,873,1266,1410,1565,852,1173,754,1090
gene-LOC121916165,0,0,0,0,0,0,0,0,0,0,0,0
gene-PRKCG,862,945,3107,1999,1174,1971,5678,982,2063,2358,2817,1755
gene-PRKCD,112,323,314,1092,672,433,522,1636,570,369,580,514
gene-PRKCE,200,241,406,330,595,614,486,516,193,540,564,405
gene-PRKCB,115,93,291,271,150,286,153,449,488,133,429,252
gene-PRKCA,119,400,557,896,759,1026,406,1048,211,1186,498,599
gene-LOC121926151,609,1679,345,0,101,93,300,8654,89,943,131,0
gene-LOC121926152,151,140,72,101,108,63,311,148,114,71,108,59
gene-LOC121926153,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC121926154,0,0,0,0,0,0,0,0,0,0,0,0
gene-PRKCH,17,17,132,25,8,0,0,10,222,0,89,22
gene-PRKCI,55,143,213,502,253,225,206,365,84,264,383,333
gene-WFDC3,0,0,0,0,0,0,0,0,0,0,0,0
gene-WFDC1,25,15,26,19,25,38,4,45,15,0,27,14
gene-LOC121918308,940,683,907,1111,1017,974,1341,2070,1132,880,1081,769
gene-LOC121918309,27,47,94,37,56,116,99,51,14,112,25,68
gene-LOC121918304,0,0,0,0,0,0,0,0,0,0,0,0
gene-VPS26A,945,1590,1533,1928,989,1053,1924,2797,1087,1497,1163,1353
gene-VPS26B,26,83,141,202,165,232,92,189,48,253,39,49
gene-LOC121918307,83,88,171,43,105,127,138,120,62,115,46,55
gene-LOC121918301,0,0,0,0,0,0,0,3,0,0,0,0
gene-IFT43,139,95,70,158,106,134,150,498,250,168,218,129
gene-LOC121918303,0,0,0,0,0,0,0,0,0,0,0,0
gene-NUP188,492,622,1093,789,833,898,1038,1607,673,958,1005,890
gene-TEX36,0,0,0,0,0,0,0,0,0,0,3,4
gene-UNC119,47,31,39,48,35,29,121,42,162,52,82,105
gene-TEX33,0,0,8,0,18,12,17,10,66,0,8,0
gene-TEX38,23,31,15,23,4,11,31,66,32,10,8,0
gene-LOC121922708,3630,2647,6322,6301,2295,6415,4557,7552,1915,2899,1122,3159
gene-LOC121922701,43,72,254,17,27,49,371,54,74,36,108,50
gene-LOC121922706,19490,9883,14537,12338,5121,12391,12416,17764,25626,5674,4563,6844
gene-LOC121923259,11,0,0,0,0,0,0,11,0,0,0,0
